"","treatment","time","temp","expt"
"190","21",32,26,1
"191","23",32,26.3333333333333,1
"192","25",32,26.6666666666667,1
"193","13",33,27,1
"194","16",33,27,1
"195","19",33,27,1
"196","21",33,27,1
"197","23",33,27,1
"198","25",33,27,1
"199","13",34,28.3333333333333,1
"200","16",34,28.3333333333333,1
"201","19",34,28.3333333333333,1
"202","21",34,28.3333333333333,1
"203","23",34,28.3333333333333,1
"204","25",34,28.3333333333333,1
"205","13",35,29.6666666666667,1
"206","16",35,29.6666666666667,1
"207","19",35,29.6666666666667,1
"208","21",35,29.6666666666667,1
"209","23",35,29.6666666666667,1
"210","25",35,29.6666666666667,1
"211","13",36,31,1
"212","16",36,31,1
"213","19",36,31,1
"214","21",36,31,1
"215","23",36,31,1
"216","25",36,31,1
"217","13",37,32.3333333333333,1
"218","16",37,32.3333333333333,1
"219","19",37,32.3333333333333,1
"220","21",37,32.3333333333333,1
"221","23",37,32.3333333333333,1
"222","25",37,32.3333333333333,1
"223","13",38,33.6666666666667,1
"224","16",38,33.6666666666667,1
"225","19",38,33.6666666666667,1
"226","21",38,33.6666666666667,1
"227","23",38,33.6666666666667,1
"228","25",38,33.6666666666667,1
"229","13",39,35,1
"230","16",39,35,1
"231","19",39,35,1
"232","21",39,35,1
"233","23",39,35,1
"234","25",39,35,1
"235","13",40,33.6666666666667,1
"236","16",40,33.6666666666667,1
"237","19",40,33.6666666666667,1
"238","21",40,33.6666666666667,1
"239","23",40,33.6666666666667,1
"240","25",40,33.6666666666667,1
"241","13",41,32.3333333333333,1
"242","16",41,32.3333333333333,1
"243","19",41,32.3333333333333,1
"244","21",41,32.3333333333333,1
"245","23",41,32.3333333333333,1
"246","25",41,32.3333333333333,1
"247","13",42,31,1
"248","16",42,31,1
"249","19",42,31,1
"250","21",42,31,1
"251","23",42,31,1
"252","25",42,31,1
"253","13",43,29.6666666666667,1
"254","16",43,29.6666666666667,1
"255","19",43,29.6666666666667,1
"256","21",43,29.6666666666667,1
