species,Dmax_C,cage No.,Dur_I,Dur_II,Dur_III,Dur_IV,DurL,longevity,fecundity
Sitobion avenae,32,1,42.6,38.4,57.6,69.3,207.9,225,10.8
Sitobion avenae,32,2,46.8,43.8,45.3,70.125,206.025,172.5,8
Sitobion avenae,32,3,53.7,43.8,36.3,77.1,210.9,193.5,9
Sitobion avenae,32,4,31.875,36.5,59.5,89,216.875,154.5,11
Sitobion avenae,32,5,48,43.5,48,66.75,206.25,250.5,10
Sitobion avenae,32,6,35.7,33,57.6,82.2,208.5,229.2,11.4
Sitobion avenae,34,1,39.9,36.3,48,72,196.2,183.9,9
Sitobion avenae,34,2,40.5,50.7,34.5,72,197.7,252,14
Sitobion avenae,34,3,32.625,45.375,46.5,67.5,192,160.5,8
Sitobion avenae,34,4,48,42.6,20.625,82.125,193.35,286.5,11.25
Sitobion avenae,34,5,31.875,58.125,44.625,60,194.625,217.875,8
Sitobion avenae,34,6,45.3,54.3,34.8,68.1,202.5,240,7.6
Sitobion avenae,36,1,56,54.3,43.8,34.5,188.6,200,12.66666667
Sitobion avenae,36,2,55.4,41.1,54.75,40.5,191.75,84,3.75
Sitobion avenae,36,3,53.3,43.2,52.8,42.6,191.9,131.7,8.8
Sitobion avenae,36,4,58.1,28.2,43.2,60.3,189.8,210.6,8.2
Sitobion avenae,36,5,35.6,34.8,50.7,61.2,182.3,232.5,14.6
Sitobion avenae,36,6,47.9,26.1,48,72,194,261.6,19.6
Sitobion avenae,38,1,44,48,29,83,204,110,4.666666667
Sitobion avenae,38,2,43.1,51.1,39.75,68.25,202.2,168.75,3.25
Sitobion avenae,38,3,58.25,33.75,39.75,54,185.75,216,4.333333333
Sitobion avenae,38,4,50,53,24,0,127,0,0
Sitobion avenae,38,5,44.9,57.75,51.75,32,186.4,174,3.666666667
Sitobion avenae,38,6,50.9,33,43.5,63,190.4,225,10
Sitobion avenae,40,1,36.5,36,63,96,231.5,153,1
Sitobion avenae,40,2,44,36,67.5,0,147.5,0,0
Sitobion avenae,40,3,47.9,30.6,48,96,222.5,129,1
Sitobion avenae,40,4,36.5,32,15,0,83.5,0,0
Sitobion avenae,40,5,32.3,43.2,19.5,111,206,24,0
Sitobion avenae,40,6,39.9,32,24,0,95.9,0,0
