"","Treatment","ID","H_C","CycleDays","ContinueNormalDay","ContinueHotday","LifeNormalDay","LifeHotday","NymphNormalDay","NymphHotDay","AdultNormalDay","AdultHotDay","RatioNormaltoHot","MeanT","DailyMin","DailyMax","TD320","TD330","Lower20C","Higher20C","X1st_instar","X2ed_instar","X3rd_instar","X4th_instar","NymphDur","Longevity","Fecundity","BirthDur","UID","Trt","Status"
"77",312,5,"C",3,1,2,5,8,2.5,4,2.5,4,0.625,24.8,20.9,28.6,56,28,154,148,1.5,1,2,2,6.5,6.5,22,7,"C.312.5","C.312",1
"78",312,7,"C",3,1,2,6,12,2.5,4,3.5,8,0.438,25,21.2,28.9,84,42,184.8,222,1,1.5,1.5,2.5,6.5,11.5,26,9,"C.312.7","C.312",1
"79",312,8,"C",3,1,2,5,9,3,4.5,2,4.5,0.444,24.9,21.1,28.8,63,31.5,154,166.5,1.5,2,1.5,2.5,7.5,6.5,12,6,"C.312.8","C.312",1
"80",312,9,"C",3,1,2,5,9,3,4.5,2,4.5,0.444,24.9,21.1,28.8,63,31.5,154,166.5,1.5,1.5,2.5,2,7.5,6.5,17,6,"C.312.9","C.312",1
"81",312,10,"C",3,1,2,8,15,3,4,5,11,0.455,25,21.1,28.8,105,52.5,246.4,277.5,1,2.5,1.5,2,7,16,40,15,"C.312.10","C.312",1
"82",312,12,"C",3,1,2,6,10,3,4.5,3,5.5,0.545,24.8,21,28.7,70,35,184.8,185,1,2,2,2.5,7.5,8.5,21,8,"C.312.12","C.312",1
"83",312,13,"C",3,1,2,6,12,2.5,4,3.5,8,0.438,25,21.2,28.9,84,42,184.8,222,1,2,1.5,2,6.5,11.5,36,12,"C.312.13","C.312",1
"84",312,14,"C",3,1,2,5,8,2.5,4,2.5,4,0.625,24.8,20.9,28.6,56,28,154,148,1,1.5,2,2,6.5,6.5,22,7,"C.312.14","C.312",1
"85",312,15,"C",3,1,2,7,14,2.5,4,4.5,10,0.45,25,21.2,28.9,98,49,215.6,259,1,1.5,2,2,6.5,14.5,35,14,"C.312.15","C.312",1
"86",312,16,"C",3,1,2,6,10,3,4,3,6,0.5,24.8,21,28.7,70,35,184.8,185,1,2,2,2,7,9,23,9,"C.312.16","C.312",1
"87",312,17,"C",3,1,2,5,8,3,4,2,4,0.5,24.8,20.9,28.6,56,28,154,148,1,2,2,2,7,6,12,6,"C.312.17","C.312",1
"88",312,18,"C",3,1,2,5,10,3,4.5,2,5.5,0.364,25,21.2,28.9,70,35,154,185,1,2,2,2.5,7.5,7.5,15,7,"C.312.18","C.312",1
"89",312,19,"C",3,1,2,7,13,3,4.5,4,8.5,0.471,25,21.1,28.8,91,45.5,215.6,240.5,1,2.5,1.5,2.5,7.5,12.5,38,13,"C.312.19","C.312",1
"90",312,20,"C",3,1,2,7,12,3,4.5,4,7.5,0.533,24.9,21,28.7,84,42,215.6,222,1,2,2,2.5,7.5,11.5,37,11,"C.312.20","C.312",1
"91",312,21,"C",3,1,2,5,8,3,4.5,2,3.5,0.571,24.8,20.9,28.6,56,28,154,148,1.5,1.5,2,2.5,7.5,5.5,21,4,"C.312.21","C.312",1
"92",312,22,"C",3,1,2,7,14,2.5,4,4.5,10,0.45,25,21.2,28.9,98,49,215.6,259,1.5,1,2,2,6.5,14.5,20,11,"C.312.22","C.312",1
"93",312,23,"C",3,1,2,6,11,3,5.5,3,5.5,0.545,24.9,21.1,28.8,77,38.5,184.8,203.5,1,2,2,3.5,8.5,8.5,30,10,"C.312.23","C.312",1
"94",312,25,"C",3,1,2,8,14,3.5,6,4.5,8,0.563,24.9,21,28.7,98,49,246.4,259,1,4,2,2.5,9.5,12.5,17,8,"C.312.25","C.312",1
"95",312,26,"C",3,1,2,4,6,3,4.5,1,1.5,0.667,24.7,20.9,28.5,42,21,123.2,111,1.5,1.5,2,2.5,7.5,2.5,4,3,"C.312.26","C.312",1
"96",312,27,"C",3,1,2,5,10,3,5.5,2,4.5,0.444,25,21.2,28.9,70,35,154,185,1.5,2.5,2,2.5,8.5,6.5,8,5,"C.312.27","C.312",1
"97",312,28,"C",3,1,2,6,12,3,5,3,7,0.429,25,21.2,28.9,84,42,184.8,222,1.5,2,2,2.5,8,10,23,10,"C.312.28","C.312",1
"98",312,29,"C",3,1,2,7,13,3,6,4,7,0.571,25,21.1,28.8,91,45.5,215.6,240.5,2,2.5,2.5,2,9,11,21,11,"C.312.29","C.312",1
"99",312,31,"C",3,1,2,5,8,3,5,2,3,0.667,24.8,20.9,28.6,56,28,154,148,2,2,2,2,8,5,11,4,"C.312.31","C.312",1
